Kurs|Thema|Frage|Hinweis_1|Hinweis_2|Antwort|Extra|Real_World_Case|Mnemonik|MC_Richtig|MC_Falsch1|MC_Falsch2|MC_Falsch3|Schlagwörter
Bachelor Professional IT|Cloud-Native & Microservices|Wie unterscheiden sich <b>CaaS</b> (Container as a Service) und <b>FaaS</b> (Function as a Service) hinsichtlich der Bereitstellungs-Einheit und Abrechnung?|Deployment-Einheiten|Docker vs. Lambda|<b>CaaS</b>:<br>- Einheit: <b>Container</b> (z.B. Docker).<br>- Fokus: Orchestrierung isolierter Umgebungen (Kubernetes).<br><b>FaaS</b>:<br>- Einheit: Eine einzelne <b>Funktion</b> (Code-Snippet).<br>- Fokus: <b>Ereignisgesteuert</b> (läuft nur bei Trigger) und Abrechnung pro Ausführung.|FaaS ist die extremste Form der Abstraktion ("Serverless"). Bei CaaS verwalten Sie noch Cluster-Konfigurationen, bei FaaS nur noch den reinen Code-Logic-Flow. CaaS ist ideal für Portabilität, FaaS für sporadische Events.|CaaS: Kubernetes-Cluster. FaaS: AWS Lambda Funktion, die nur läuft, wenn ein Bild hochgeladen wird.|FaaS = Funktion (Code), CaaS = Container (Box)|CaaS = Container-Orchestrierung; FaaS = Ereignisgesteuerte Code-Funktionen (Pay-per-Execution).|CaaS ist für ganze VMs, FaaS für Speicherplatz.|FaaS bietet Docker-Container, CaaS ist ereignisgesteuert.|Beide Begriffe sind Synonyme für Serverless Computing.|Cloud FaaS CaaS Docker Serverless E01
Bachelor Professional IT|Cloud-Szenarien|Ein Softwareentwickler-Team möchte eine neue Web-Applikation entwickeln. Sie wollen <b>keine</b> Zeit mit Windows-Updates oder Server-Konfiguration verschwenden, benötigen aber volle Kontrolle über den Quellcode und die verwendeten Frameworks. Welches Servicemodell ist laut Definition "ideal"?|Entwickler-Fokus|Runtime provided|<b>PaaS (Platform as a Service)</b>.<br>Begründung: PaaS liefert die Laufzeitumgebung (Runtime) und das OS fix und fertig. Das Team kann sich zu 100% auf die Entwicklung (Coding/Deployment) konzentrieren, ohne Admin-Aufgaben zu haben.|Abgrenzung: SaaS wäre hier falsch, da man dort keinen eigenen Code entwickelt (man nutzt nur fertige Software wie Office). IaaS wäre falsch, da man dort Server patchen müsste.|Google App Engine oder Heroku sind klassische Beispiele.|PaaS = Plattform für Programmierer|PaaS (Platform as a Service).|IaaS (Infrastructure as a Service).|SaaS (Software as a Service).|On-Premise Hosting.|Cloud Szenario PaaS Entwicklung Entscheidung E01
Bachelor Professional IT|Informationsmanagement (IM)|Welche Stellung nimmt "Information" in der modernen Betriebswirtschaft ein und was ist das oberste logistische Ziel des Informationsmanagements?|Wirtschaftsfaktor|Die 5 R's der Info-Logistik|Das Informationsmanagement betrachtet <b>Information</b> als den <b>dritten Produktionsfaktor</b> (neben Kapital und Arbeit/Boden).<br>Oberstes Ziel ist die Bereitstellung der:<br>1. Richtigen Information<br>2. Zur richtigen Zeit<br>3. Am richtigen Ort<br>4. Für den richtigen Adressaten<br>5. Zu angemessenen Kosten.|Früher war IT nur "Hilfsmittel". Heute kann ohne den Produktionsfaktor "Information" weder Kapital noch Arbeit effizient eingesetzt werden. Das IM plant, steuert und kontrolliert diesen Kreislauf.|Ein Börsenhändler braucht Kursdaten (Info) in Millisekunden (Zeit), sonst ist das Kapital nutzlos.|IM = Info zur richtigen Zeit|3. Produktionsfaktor (neben Kapital/Arbeit); Ziel: Richtige Info zur richtigen Zeit am richtigen Ort.|Information ist ein Abfallprodukt; Ziel ist die Löschung.|Information ist nur Technik; Ziel ist maximale Speicherkapazität.|Information ist ein Kostenfaktor; Ziel ist die Minimierung.|Informationsmanagement Produktionsfaktor Logistik Ziele E01
Bachelor Professional IT|Wissenstreppe (nach K. North)|Ein Unternehmen besitzt hochqualifizierte Mitarbeiter mit enormem Fachwissen, schreibt aber dennoch rote Zahlen und verliert Marktanteile. Welche Stufen der "Wissenstreppe" (nach North) fehlen hier offensichtlich, um Wettbewerbsfähigkeit zu erreichen?|Wissen ist nicht gleich Erfolg|Strategisches Management|Laut North reicht Wissen allein nicht. Es fehlen die strategischen Stufen:<br>1. <b>Handeln (Können)</b>: Wissen muss angewendet werden.<br>2. <b>Kompetenz</b>: Richtiges Handeln (Wollen + Können).<br>3. <b>Wettbewerbsfähigkeit</b>: Das Handeln muss eine <b>Einzigartigkeit</b> am Markt erzeugen.|Das ist das klassische "Elfenbeinturm"-Problem. Wissen ohne Transfer in Produkte/Services erzeugt keinen Umsatz. Nur einzigartige Kompetenz sichert das Überleben.|Kodak hatte das Wissen über Digitalkameras, handelte aber nicht strategisch danach -> Verlust der Wettbewerbsfähigkeit.|Wissen -> Können -> Wettbewerb|Es fehlen "Können" (Handeln), "Kompetenz" (Richtiges Handeln) und "Einzigartigkeit".|Es fehlen Zeichen und Daten (Die Basis).|Es fehlt die Informationstechnologie (Hardware).|Das Wissen ist vorhanden, das reicht laut North aus.|Wissenstreppe North Wettbewerbsfähigkeit Strategie E01
Bachelor Professional IT|Informationssysteme (IS)|Aus welchen drei elementaren Komponenten besteht ein Informationssystem laut dem MAT-Modell (soziotechnisches System) und wie hängen diese zusammen?|Soziotechnischer Ansatz|Wer macht was womit?|Ein IS ist ein Gefüge aus:<br>1. <b>Mensch (M)</b>: Anwender/Aufgabenträger (Benutzerzentrierung).<br>2. <b>Aufgabe (A)</b>: Das zu lösende betriebliche Problem (Informationsbedarf).<br>3. <b>Technik (T)</b>: Hard- und Software zur Verarbeitung.<br>Es ist "offen, dynamisch und komplex".|Technik allein ist nutzlos. Sie muss eine Aufgabe für einen Menschen lösen. Fehlt eine Komponente, ist das System dysfunktional (z.B. Software ohne geschulten Anwender).|Ein Lagersystem (T) hilft dem Lageristen (M) beim Kommissionieren (A).|MAT = Mensch Aufgabe Technik|Mensch (Anwender), Aufgabe (Problem), Technik (Lösung).|Management, Arbeit, Technologie (Falscher Fokus).|Mensch, Auftrag, Termin (Projektmanagement-Begriffe).|Monitor, Applikation, Tastatur (Rein technische Sicht).|MAT-Modell Soziotechnik Systemtheorie Definition E01
Bachelor Professional IT|Systembegriffe (AS vs. IS)|Was ist der entscheidende Unterschied zwischen einem reinen "Anwendungssystem" (AS) und einem umfassenden "Informationssystem" (IS)?|Teil vs. Ganzes|Code vs. Nutzung|Das <b>Anwendungssystem (AS)</b> umfasst nur die technische Seite (Programme + Daten für ein Gebiet).<br>Das <b>Informationssystem (IS)</b> integriert das AS in den betrieblichen Kontext, also inkl. <b>Mensch</b> und organisatorischer <b>Aufgabe</b>.|Merksatz: Ein AS wird installiert, ein IS wird gelebt. Wer nur das AS betrachtet, vergisst den User und den Prozess (häufiger Grund für das Scheitern von IT-Projekten).|SAP ERP ist das Anwendungssystem. Die Nutzung von SAP durch die Buchhaltung zur Bilanzerstellung ist das Informationssystem.|IS = AS + M + A|AS = Software + Daten (Technik); IS = AS + Mensch + Aufgabe (Kontext).|AS ist Hardware, IS ist Software.|Beide Begriffe sind Synonyme.|IS ist nur die Datenbank, AS das Frontend.|Anwendungssystem Informationssystem Abgrenzung Definition E01
Bachelor Professional IT|Entwicklung der IS|Ein Unternehmen öffnet seine internen Bestellsysteme, damit Lieferanten den Lagerbestand direkt einsehen und nachfüllen können (VMI). Welcher historischen Entwicklungsphase der Informationssysteme entspricht dies?|Historische Einordnung|Supply Chain Integration|Dies entspricht der Phase <b>ab 2000</b>.<br>Merkmal: <b>Vernetzung mit Lieferanten und Kunden</b>, Globalisierung und E-Commerce.<br>Das System verlässt die Unternehmensgrenzen.|Früher (50er-90er) waren Systeme "introvertiert" (Fokus auf interne Effizienz/Buchhaltung). Heute sind sie "extrovertiert" (Wertschöpfungsnetzwerke).|Amazon Marketplace oder Just-in-Time Lieferketten in der Automobilindustrie.|2000+ = Vernetzung (Web)|Ab 2000: Vernetzung mit Lieferanten/Kunden (Globalisierung).|1950er: Reine technische Änderungen (Rechenzentrums-Fokus).|1970er: Unterstützung der Führungskräfte (MIS).|1990er: Unterstützung interner Kernaktivitäten (ERP).|Historie Entwicklung Vernetzung E-Commerce E01
Bachelor Professional IT|Sichten auf die Infrastruktur|Wodurch erweitert die <b>Informationsmanagement-Sicht</b> die reine technische Sicht auf die IT-Infrastruktur?|Management-Delta|Recht & Mensch|Sie erweitert die Technik um zwei Dimensionen:<br>1. <b>Institutionelle Gegebenheiten</b>: Gesetze, Normen (z.B. Datenschutz/DSGVO), und die Rolle der IT-Abteilung.<br>2. <b>Personelle Gegebenheiten</b>: Das Know-how der Mitarbeiter und Administratoren.|Hardware und Software (Technische Sicht) sind nutzlos, wenn sie gegen Gesetze verstoßen oder niemand sie bedienen kann. Das IM betrachtet das "Ganze".|Ein Rechenzentrum ist technisch perfekt (Technik-Sicht), darf aber wegen fehlender Zertifizierung (ISO 27001) keine Bankdaten verarbeiten (IM-Sicht).|IM = Technik + Mensch + Recht|Durch institutionelle (Gesetze/Normen) und personelle Gegebenheiten (Know-how).|Durch Hinzufügen von Cloud-Komponenten.|Durch Fokus auf Hardware-Preise und Leasing.|Durch rein technische Überwachungstools (Monitoring).|Infrastruktur Management Sichten Personal Compliance E01
Bachelor Professional IT|Technische Sicht (Schichtenmodell)|In welcher spezifischen Ebene der "Technischen Sicht" sind <b>Betriebssysteme und Virtualisierung</b> verortet?|Logische Struktur|Nicht "Physisch"|Auf der <b>Anwendungsebene</b>.<br>Diese umfasst:<br>- Betriebssysteme<br>- Virtualisierungslösungen<br>- Systemsoftware|Achtung Falle: Viele ordnen das OS der "Hardware" zu. In dieser Definition ist die Hardware (Physische Ebene) aber nur das "nackte Blech" (Server/Kabel). Das OS ist bereits Software, also Anwendungsebene.|VMware ESXi (Virtualisierung) ist Software und gehört zur Anwendungsebene, der Server, auf dem es läuft, zur Physischen Ebene.|App-Ebene = Alles was Code ist|Anwendungsebene (Systemsoftware).|Physische Ebene (Hardware).|Netzwerkebene (Protokolle).|Speicherebene (SAN/NAS).|Infrastruktur Schichtenmodell Virtualisierung Betriebssystem E01
Bachelor Professional IT|Stromversorgung & Redundanz|In einem Rechenzentrum fällt der Stadtstrom für 4 Stunden aus. Die Server fahren jedoch nach 20 Minuten unkontrolliert herunter, obwohl eine <b>USV</b> (Unterbrechungsfreie Stromversorgung) vorhanden und intakt ist. Welche Komponente der Basis-Infrastruktur fehlte hier offensichtlich?|Zeitfaktor|Batterie vs. Diesel|Es fehlte eine <b>NEA (Netzersatzanlage)</b>.<br>- <b>USV</b> dient nur zur Pufferung/Überbrückung von <i>kurzzeitigen</i> Ausfällen (Minuten) oder zum sauberen Shutdown.<br>- <b>NEA</b> (z.B. Dieselgenerator) ist eine sekundäre Energiequelle für den <i>Langzeitbetrieb</i>.|Eine USV ist eine Batterie (begrenzte Zeit). Eine NEA ist ein Kraftwerk (läuft solange Treibstoff da ist). Für 4 Stunden braucht man zwingend eine NEA.|Krankenhaus: USV überbrückt die 10 Sekunden, bis der Diesel-Generator (NEA) angesprungen ist.|USV = Brücke, NEA = Straße|NEA (Netzersatzanlage / Notstrom-Aggregat).|Blitzschutz (Überspannungsschutz).|Eine zweite USV (Redundanz).|Bessere Klimatisierung (Wärmeabfuhr).|Infrastruktur Stromversorgung USV NEA Sicherheit E01
Bachelor Professional IT|Netzwerk-Komponenten|Worin unterscheiden sich <b>Router</b> und <b>Switch</b> fundamental hinsichtlich ihres Einsatzgebietes und der genutzten Adressierung?|OSI-Schicht 2 vs. 3|Lokal vs. Global|Der Unterschied ist strukturell:<br>1. <b>Switch</b>: Verbindet Geräte <i>innerhalb</i> eines Netzwerks (LAN). Er leitet Daten basierend auf der physischen <b>MAC-Adresse</b> weiter.<br>2. <b>Router</b>: Verbindet <i>verschiedene</i> Netzwerke (z.B. LAN mit Internet). Er leitet Pakete basierend auf der logischen <b>IP-Adresse</b> weiter.|Merksatz: Der Switch "schaltet" im Haus (Zimmer zu Zimmer), der Router "routet" nach draußen (Haus zu Haus). Ein Switch kennt keine IP-Subnetze, nur Hardware-Adressen.|Switch verbindet PC A mit Drucker B (beide im gleichen Büro). Router verbindet das Büro mit Google.|Switch=MAC (L2), Router=IP (L3)|Router = Netzverbund (IP-Adresse); Switch = Lokales LAN (MAC-Adresse).|Router nutzen MAC-Adressen im LAN, Switches nutzen IP-Adressen im WAN.|Beide Geräte arbeiten ausschließlich mit IP-Adressen.|Router sind nur für WLAN, Switches nur für Kabel.|Netzwerk Hardware Router Switch OSI E01
Bachelor Professional IT|Netzwerk-Performance|Warum gilt der <b>Hub</b> als technisch veraltet und ineffizient im Vergleich zum Switch?|Dumb Device vs. Smart Device|Broadcast vs. Unicast|Der <b>Hub</b> ist ein "dummer" Verteiler:<br>- Er sendet eingehende Daten unselektiv an <b>alle Ports</b> (Broadcasting).<br>- Folge: Hohes Datenaufkommen und häufige <b>Datenkollisionen</b> (CSMA/CD notwendig).<br>Der Switch hingegen lernt MAC-Adressen und sendet gezielt nur an den Empfänger.|Ein Hub teilt die Bandbreite durch die Anzahl der Nutzer (Shared Medium). Ein Switch bietet jedem Port die volle Bandbreite. Hubs sind heute Elektroschrott oder nur noch zu Diagnosezwecken (Sniffing) im Einsatz.|In einem Hub-Netzwerk können andere PCs theoretisch den Datenverkehr mitlesen, da sie alles empfangen.|Hub = Gießkanne, Switch = Briefbote|Er sendet Daten unselektiv an alle Ports (Kollisionen).|Weil er Daten verschlüsselt und dadurch langsam ist.|Weil er nur drahtlos funktioniert.|Weil er IP-Adressen statt MAC-Adressen nutzt.|Netzwerk Hub Switch Kollision Performance E01
Bachelor Professional IT|Netzwerk-Architektur|Sie sollen das Netzwerk der "Buchhaltung" (Subnetz A) physisch und logisch vom Netzwerk des "Gäste-WLANs" (Subnetz B) trennen, aber einen kontrollierten Datenaustausch ermöglichen. Welches Gerät ist an der Schnittstelle <b>zwingend</b> erforderlich?|Trennung von Broadcast-Domänen|Gateway-Funktion|Ein <b>Router</b> (oder Layer-3 Switch).<br>Begründung: Nur ein Router kann zwischen <b>verschiedenen logischen Netzwerken</b> (Subnetzen/IP-Bereichen) vermitteln.|Ein normaler Switch (Layer 2) könnte die Datenpakete nicht von Subnetz A nach Subnetz B transportieren, da er nur MAC-Adressen kennt und die IP-Struktur ignoriert. Der Router fungiert als "Gateway".|Verbindung von 192.168.1.0/24 (Buchhaltung) mit 192.168.178.0/24 (Gäste).|Router = Grenzkontrolle|Ein Router (oder Layer-3 Switch).|Ein Layer-2 Switch.|Ein Repeater.|Ein Hub.|Netzwerk Planung Router Sicherheit Subnetting E01
Bachelor Professional IT|Drahtlose Kommunikation|Für welchen spezifischen Einsatzzweck werden Protokolle wie <b>Zigbee</b> oder <b>Z-Wave</b> optimiert und wie unterscheiden sie sich von klassischem Wi-Fi?|IoT & Smart Home|Energieeffizienz|Zigbee und Z-Wave sind für <b>IoT/Smart Home</b> optimiert.<br>- Fokus: Extrem <b>geringer Energieverbrauch</b> (Batterielaufzeit von Sensoren) und <b>Mesh-Funktionalität</b> (Geräte leiten Signale weiter).<br>- Unterschied zu Wi-Fi: Deutlich geringere Datenrate, aber höhere Reichweite durch Mesh.|Wi-Fi verbraucht zu viel Strom für kleine Sensoren. Bluetooth ist auf Punkt-zu-Punkt-Verbindungen begrenzt. Zigbee ermöglicht es, dass jede smarte Lampe als Repeater fungiert.|Ein batteriebetriebener Temperatursensor sendet alle 10 Minuten einen kleinen Wert (ideal für Zigbee).|Zigbee = IoT = Mesh|Für Smart Home/IoT (geringer Energieverbrauch, Mesh-Netzwerke).|Für High-Speed Videostreaming im Heimnetzwerk.|Als Ersatz für kabelgebundene Server-Backbones.|Zur verschlüsselten Telefonie über große Distanzen.|Funkstandards Zigbee IoT WLAN Bluetooth E01
